parent_track_id,child_track_id
34,123
34,124
115,136
115,127
9,150
9,151
71,165
71,163
102,171
102,170
158,191
158,190
166,210
166,211
81,213
81,212
191,238
191,237
219,259
219,268
193,261
193,262
94,266
94,267
10,270
10,272
122,280
122,279
277,294
277,289
227,297
227,298
286,321
286,314
101,316
101,332
114,330
114,339
306,338
306,320
271,345
271,346
298,349
298,348
222,351
222,347
331,356
331,358
344,375
344,374
4,372
4,377
238,373
238,383
69,379
69,382
349,380
349,381
202,378
202,376
113,388
113,390
117,392
117,389
365,393
365,395
290,406
290,408
137,443
137,444
350,446
350,448
358,453
358,454
429,462
429,465
445,464
445,461
409,466
409,468
412,473
412,474
443,477
443,478
393,479
393,484
145,496
145,495
407,501
407,498
388,510
388,513
378,515
378,517
466,519
466,520
462,532
462,533
243,535
243,541
514,552
514,564
479,550
479,561
497,554
497,551
531,559
531,558
498,556
498,557
539,567
539,553
196,578
196,577
457,583
457,582
377,591
377,589
510,595
510,601
178,607
178,605
480,604
480,609
586,633
586,629
438,654
438,655
208,661
208,664
139,663
139,669
257,678
257,679
351,680
351,677
372,688
372,687
660,686
660,692
270,691
270,690
557,711
557,715
430,713
430,716
625,712
625,710
551,714
551,719
450,721
450,726
581,724
581,723
687,730
687,732
7,728
7,748
710,731
710,729
663,734
663,736
627,738
627,744
212,746
212,749
708,751
708,750
622,753
622,757
527,761
527,762
549,764
549,770
709,765
709,768
661,767
661,771
536,784
536,794
711,785
711,791
753,787
753,783
754,788
754,789
588,802
588,812
194,807
194,805
695,808
695,811
535,809
535,816
796,819
796,820
784,836
784,825
561,829
561,828
406,832
406,823
810,831
810,833
777,838
777,842
602,843
602,844
730,865
730,870
573,851
573,848
729,853
729,857
766,871
766,854
562,850
562,856
228,868
228,864
833,859
833,867
141,878
141,873
666,862
666,860
89,872
89,888
800,882
800,880
461,896
461,893
823,924
823,903
380,921
380,907
678,898
678,906
216,925
216,905
789,917
789,914
567,897
567,904
755,901
755,918
300,935
300,919
736,943
736,952
703,948
703,962
894,974
894,976
900,975
900,977
929,981
929,982
893,987
893,989
868,991
868,997
855,1058
855,1118
997,1073
997,1085
888,1125
888,1109
1008,1130
1008,1143
1027,1131
1027,1132
1081,1141
1081,1135
1088,1153
1088,1154
1020,1164
1020,1167
1144,1172
1144,1171
1165,1188
1165,1189
999,1201
999,1202
1035,1218
1035,1222
1091,1228
1091,1227
859,1237
859,1245
1070,1238
1070,1241
1195,1248
1195,1244
1013,1252
1013,1253
1218,1255
1218,1261
1220,1258
1220,1260
1242,1263
1242,1257
1207,1264
1207,1256
1236,1272
1236,1276
1111,1283
1111,1284
1168,1294
1168,1296
1138,1295
1138,1298
1106,1300
1106,1303
1052,1315
1052,1313
1189,1330
1189,1329
1311,1345
1311,1351
1272,1347
1272,1350
1299,1354
1299,1346
1317,1355
1317,1344
1180,1361
1180,1362
984,1364
984,1371
1347,1377
1347,1379
793,1381
793,1380
1378,1386
1378,1387
1370,1389
1370,1388
1031,1401
1031,1405
1254,1418
1254,1419
1367,1417
1367,1425
233,1428
233,1426
1136,1434
1136,1440
1404,1435
1404,1433
1024,1449
1024,1448
1401,1446
1401,1451
1383,1452
1383,1455
1397,1454
1397,1456
1400,1459
1400,1462
1352,1480
1352,1477
1465,1483
1465,1481
1394,1487
1394,1488
1082,1491
1082,1489
1361,1499
1361,1497
1458,1502
1458,1506
1480,1507
1480,1508
1482,1509
1482,1503
1446,1520
1446,1523
1416,1539
1416,1541
1491,1538
1491,1537
1508,1540
1508,1543
1227,1547
1227,1551
1543,1557
1543,1559
1531,1566
1531,1563
1137,1569
1137,1571
1554,1573
1554,1570
1524,1572
1524,1577
1269,1581
1269,1579
1075,1587
1075,1591
1557,1589
1557,1590
1300,1598
1300,1594
1505,1601
1505,1602
1585,1613
1585,1611
1046,1612
1046,1621
1522,1614
1522,1624
1369,1617
1369,1616
1509,1620
1509,1628
1606,1627
1606,1618
1609,1633
1609,1631
1589,1638
1589,1636
1616,1651
1616,1648
1650,1659
1650,1658
1646,1671
1646,1672
1639,1678
1639,1677
1542,1697
1542,1704
1684,1696
1684,1695
1636,1699
1636,1698
1613,1712
1613,1716
1433,1714
1433,1718
1610,1713
1610,1717
1685,1729
1685,1727
1703,1730
1703,1731
1441,1734
1441,1733
1570,1745
1570,1743
1614,1746
1614,1747
1248,1750
1248,1752
1734,1760
1734,1761
1278,1785
1278,1784
1677,1789
1677,1792
1744,1800
1744,1796
1101,1804
1101,1805
1346,1813
1346,1811
1795,1809
1795,1818
1771,1815
1771,1822
1598,1821
1598,1820
1730,1830
1730,1828
1824,1831
1824,1833
1683,1838
1683,1846
1476,1839
1476,1847
1804,1851
1804,1853
1517,1852
1517,1854
1475,1858
1475,1857
1742,1856
1742,1859
